366,help,"seek
 professional
 great
 provide
 give
 offers
 medical
 receive
 call (for)
 appealed (for)
 domestic
 Require"
367,summer,"late
 spent
 early
 dry
 Full"
368,daughter,"eldest
 youngest
 Only"
369,baby,"expecting
 unborn
 Lost"
370,sea,"open
 Calm"
371,skill,"Required
 considerable"
372,claim,"make
 rejected
 compensation (claim)
 Unfair"
373,concern,"expressed
 cause
 growing
 major
 public
 deep
 real
 increasing
 considerable
 Voiced"
374,discussion,"open
 further
 considerable
 Major"
375,customer,particular
376,box,"gift
 (tick the) appropriate N"
377,conference,"peace
 party
 told
 annual
 called
 planned
 hold
 major
 Opened"
378,profit,"net
 make
 increase
 Gross
Small"
379,division,"top
 made
 Major"
380,procedure,"followed
 standard
 using
 normal
 adopted
 complaints + N"
381,king,"crowned
 late
 Appointed"
382,image,"public
 improve
 clean (up)
 Presented"
383,oil,"virgin
 Cooking"
384,circumstance,causal
385,circumstances,"certain
 (in/under) normal
 surrounding
 exceptional
 changing
 personal
 suspicious
 unusual
 causal
 extreme
 Favourable"
386,proposal,"rejected
 made
 accepted
 Original
Approved"
387,sector,voluntary
388,direction,"(in the) right
 opposite
 (in the) wrong
 future
 Reverse"
389,sign,"(a) good
 shows
 little
 gave
 (a) sure
 visible
 made (a/no N)"
390,measure,"(in) large
 temporary
 (in) small
 (in) equal
 give
 provide
 (in) full"
391,attitude,"adopted
 Right"
392,disease,"chronic
 cause
 transmitted
 severe
 Serious"
393,commission,"set (up) + N
 appointed + N
 N + established
 Take"
394,seat,"back
 front
 Passenger
take
 rear
 driver's
 driving
 parliamentary
 Marginal"
395,president,"former
 elected
 Re-elected"
396,goal,"scored
 (the) winning N
 early
 ultimate
 achieve
 N + disallowed"
397,affair,whole
398,affairs,"state
 Current"
399,technique,"using
 developed
 useful
 applied
 simple
 effective
 Employed"
400,respect,"mutual
 great
 due
 Earned"
401,respects,pay
402,item,news
403,version,"film
 Original
final
 current
 Launched"
404,ability,"develop
 Limited"
405,good,"do
 public
 Common"
406,goods,"manufactured
 Deliver"
407,campaign,"election
 launched
 bombing
 run
 media
 mounted
 fought
 waged
 Conducted"
408,advice,"give
 seek
 expert
 free
 offer
 professional
 practical
 take
 provide
 sound
 further
 Followed"
409,pupil,former
410,advantage,"take
 full
 great
 (to the) best
 added
 gain
 unfair
 give
 big
 major
 significant
 distinct
 special
 additional "
